WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
,24 Bulgarian Split Squats (25/15),5 Chin Ups (15/5),500m Row,,1-Arm Db Snatch (50/35),5 Kb Swings ,3 Strict Pull Ups (AHvyAP),5 Muscle Clean (135/85),3rds,,300m Row,500m Row,8 Sumo Deadlifts (225/155),Bench Press (135/85)*,1min ea ex | 1min b/n ea rd,,,"Step Ups (24"")(50's/35's)",14 Bulgarian Split Squats (40/25),4x max reps@ 85% | 75% | 65% | 55%,10 Devils Press (50's/35's),,15 Front Squats (95/65),15cal row
,60sec Plank,30 Dubs,EMOM for 10min,,Db Lateral Burpee,5 Kb Snatches,20 Dubs,10 RDL (135/85),Bench (135/85),,10 Deadlifts (185/125),50 Db Squats (40/25),6 Chest to Bar Pull Ups,DB Rev Flys (15's/10's),Kb Swings (70/55),,,Push Ups,15 Db Squats (40's/25's),,20 Wall Balls (30/20)(10'/9'),,30 Toes to Bar,"20 Burpee Box Jump Overs (30""/24"")"
,12 Sumo Squats (25/15),,5 Sh Press (115/75),,1-Arm Db Snatch (50/35),5 Kb Clean and Press,,15 Sumo Squats (40/25),15 Db Shoulder Press (40's/25's),,50 Double Unders,50 Db Lunges (40/25),"10ea Heel Touches (12"")",,Push Press (135/85),,,"Step Ups (24"")(40's/25's)",30 Bicycles,,,,15 Thrusters (95/65),25 Db Snatches (50/35)
,,,5 Burpees,,Db Lateral Burpee,5 Kb Squats,,,3rds,,,,,*Explosive reps (slow down),,,,Push Ups,,,,,,30 HSPU
,,,,,,1 Kb Get Down,,,Bench (185/95),,,,,,,,,"Step Ups (24"")(25's/15's)",,,,,,
,,,,,,,,,12 Db Shoulder Press (40's/25's),,,,,,,,,Push Ups,,,,,,
,,,,,,1 round = both arms (no setting down weight),,,3rds,,,,,,,,,"Step Ups (24"")",,,,,,
,,,,,,,,,Bench (225/105),,,,,,,,,Push Ups,,,,,,
,,,,,,,,,10 Db Shoulder Press (40's/25's),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,15min AMRAP,EMOM for 12min,Buy in,,21-15-9,4 rounds; (55/35); one-arm,10rds; for time,15min AMRAP,For max reps,,20min AMRAP,5rds; 25min time cap,5rds; for time,for max reps; 20min time cap,5rds; for max reps,,,10-20-30-40; for time,5rds; for time,Shoulder Press Drop Sets,5rds; for time | 15min cap,,15min AMRAP,for time; 8min time cap
,24 Bulgarian Split Squats,5 Chin Ups (bw),500m Row,,1-Arm Db Snatch (40/25),5 Kb Swings ,3 Strict Pull Ups (bw/banded),5 Kb Swings (70/55),3rds,,300m Row,500m Row,8 Sumo Deadlifts (185/135),Bench Press (95/65)*,1min ea ex | 1min b/n ea rd,,,"Step Ups (20"")(40's/25's)",14 Bulgarian Split Squats (25/15),4x max reps@ 75% | 65% | 55% | 45%,10 Devils Press (40's/25's),,15 Front Squats (75/45),15cal row
,60sec Plank,15 Dubs,EMOM for 10min,,Db Lateral Burpee,5 Kb Snatches,20 Dubs,10 RDL (135/85),Bench (95/65),,10 Deadlifts (135/95),50 Db Squats (25/15),6 Pull Ups,DB Rev Flys (10's/5's),Kb Swings (55/35),,,Push Ups,15 Db Squats (25's/15's),,20 Wall Balls (20/14)(10'/0'),,30 Knees to Elbows,"20 Burpee Box Jump Overs (24""/20"")"
,12 Sumo Squats (15/10),,5 Sh Press (95/65),,1-Arm Db Snatch (40/25),5 Kb Clean and Press,,15 Sumo Squats (25/15),15 Db Shoulder Press (40's/25's),,50 Single Unders,50 Db Lunges (25/15),"10ea Heel Touches (9"")",,Push Press (115/75),,,"Step Ups (20"")(25's/15's)",30 Bicycles,,,,15 Thrusters (75/45),25 Db Snatches (40/25)
,,,5 Burpees (knees optional),,Db Lateral Burpee,5 Kb Squats,,,3rds,,,,,*Explosive reps (slow down),,,,Push Ups,,,,,,30 HSPU (feet on box)
,,,,,,1 Kb Get Down,,,Bench (135/75),,,,,,,,,"Step Ups (20"")(15's/10's)",,,,,,
,,,,,,,,,12 Db Shoulder Press (40's/25's),,,,,,,,,Push Ups,,,,,,
,,,,,,1 round = both arms (no setting down weight),,,3rds,,,,,,,,,"Step Ups (20"")",,,,,,
,,,,,,,,,Bench (185/85),,,,,,,,,Push Ups,,,,,,
,,,,,,,,,10 Db Shoulder Press (40's/25's),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,15min AMRAP,EMOM for 12min,Buy in,,21-15-9,4 rounds; (40/25); one-arm,10rds; for time,15min AMRAP,For max reps,,20min AMRAP,5rds; 25min time cap,5rds; for time,for max reps; 20min time cap,5rds; for max reps,,,10-20-30-40; for time,5rds; for time,Shoulder Press Drop Sets,5rds; for time | 15min cap,,15min AMRAP,for time; 8min time cap
,24 Split Squats,5 Ring Curls,500m Row,,1-Arm Db Snatch (25/15),5 Db Swings ,3 Ring Rows (ALowAP),5 Kb Swings (55/35),3rds,,300m Row,500m Row,8 Sumo Deadlifts (135/85),Bench Press (75/45)*,1min ea ex | 1min b/n ea rd,,,"Step Ups (20"")(25's/15's)",14 Bulgarian Split Squats (bw),4x max reps@ 40's/25's | 30's/25's | 20's/10's | 10's/5's,10 Devils Press (25's/15's)(no push up),,15 Front Squats (45/35),15cal row
,30sec Plank,30 Singles,EMOM for 10min,,Db Lateral Burpee (no push up),5 Db Snatches,60 Singles,10 RDL (95/65),Bench (75/45),,10 Deadlifts (75/55),50 Db Squats (15/10),6 Box Pull Ups,DB Rev Flys (5's/bw),Db RDL (40/25),,,Incline Push Ups,15 Squats (bw),,20 Med Ball Thruster (20/14),,30 Hanging Knee Raises,"20 Burpee Box Step Overs (20"")"
,12 Sumo Squats,,5 Sh Press (75/45),,1-Arm Db Snatch (25/15),5 Db Clean and Press,,15 Sumo Squats (bw),15 Db Shoulder Press (25's/15's),,50 Singles or Jumping Jacks,50 Db Lunges (15/10),"10ea Heel Touches (6"")",,Db Sh Press (25's/15's),,,"Step Ups (20"")(15's/10's)",30 Bicycles,,,,15 Thrusters (45/35),25 Db Snatches (25/15)
,,,5 Burpees (no push up),,Db Lateral Burpee (no push up),5 Db Squats,,,3rds,,,,,*Explosive reps (slow down),,,,Incline Push Ups,,,,,,30 Down Dog HSPU
,,,,,,1 Db Get Down,,,Bench (95/65),,,,,,,,,"Step Ups (20"")(10's/5's)",,,,,,
,,,,,,,,,12 Db Shoulder Press (25's/15's),,,,,,,,,Incline Push Ups,,,,,,
,,,,,,1 round = both arms (no setting down weight),,,3rds,,,,,,,,,"Step Ups (20"")",,,,,,
,,,,,,,,,Bench (135/75),,,,,,,,,Incline Push Ups,,,,,,
,,,,,,,,,10 Db Shoulder Press (25's/15's),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,15min AMRAP,EMOM for 12min,Buy in,,21-15-9,5 rounds; (backpack); one-arm,10rds; for time,15min AMRAP,for max reps,,,5rds; 25min time cap,5rds; for time,for max reps; 20min time cap,5rds; for max reps,,,10-20-30-40; for time,5rds; for time,Shoulder Drop Sets,5rds; for time | 15min cap,,15min AMRAP,
,24 Bulgarian Split Squats,5 Chin Ups (bw),400m Run/Jog,,1-Arm Db Snatch (AHvyAP),5 Swings,3 Pull Ups,5 Jump Squats,3rds,,,500m Run,16 Sumo Squats,Push Ups*,1min ea ex | 1min b/n ea rd,,,"Step Ups (20"")(AHvyAP)",14 Bulgarian Split Squats (bw),5@,10 Burpee Broad Jump,,15 Squats,15ea Jumping Lunges
,60sec Plank,15 Dubs,EMOM for 10min,,Db Lateral Burpee,5 Snatches,30 Jumping Jacks,10 Single Leg RDL (5ea),Incline Push Ups,,,50 Db Squats,6 Pull Ups,Rev Flys (AHvyAP),Squat Hops,,,Push Ups,15 Squats (bw),Sq Sit Behind the Neck Sh Pr,30 Lunges,,30 Knees to Elbows,20 Burpee Box Jump Overs (AHiAP)
,12 Sumo Squats,,3 Inch Worms,,1-Arm Db Snatch (AHvyAP),5 Clean to Press,,15 Sumo Squats (bw),15 Sh Press (backpack),,,50 Db Lunges,"10ea Heel Touches (9"")",,Dog Dog HSPU,,,"Step Ups (20"")(AHvyAP)",30 Bicycles,Bent Over Sh Press,,,15 Burpees,25 Jump Squats
,,,5 Burpees,,Db Lateral Burpee,5 Squats,,,3rds,,,,,*Explosive reps (slow down),,,,Push Ups,,Reverse Snow Angels,,,,30 HSPU
,,,,,,1 Get-Down,,,Knee Push Ups,,,,,,,,,"Step Ups (20"")(AHvyAP)",,,,,,
,,,,,,,,,12 Sh Press (backpack),,,,,,,,,Push Ups,,,,,,
,,,,,,1 round = both arms (no setting down weight),,,3rds,,,,,,,,,"Step Ups (20"")",,,,,,
,,,,,,,,,Push Ups,,,,,,,,,Push Ups,,,,,,
,,,,,,,,,10 Down Dog HSPU,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,2min Wall Sit,3min Planks,30 Pull Ups,,Stretch,30ea Front/Lat/Rev Flys,3min Arm Circles,2min Wall Sits,30 Ring Rows,,Stretch,2min Pigeon St,2min Couch Mobility,30 Ring Rows,3min Arm Circles,,,2min Wall Sit,30 GHD's,1min Across Body Stretch,2min Pigeon,,2min Samson St,10min Abs
,,,,,,,,,,,,,,,,,,,,,,,,
,12min AMRAP,for time,5rds; for time,#VALUE!,#VALUE!,6rds | for time ,6rds; for max cals,EMOM for 15min ,for time,#VALUE!,4rds; for time,15min AMRAP,15min AMRAP,5rds; for time,1600m Walk/Jog/run*,#VALUE!,EMOM for 12min; for max abs,15min AMRAP,6 rounds; for max laps,20min AMRAP,#REF!,#VALUE!,5rds; 1min ea station; max reps,EMOM for 20min
