WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Foundation,5rds; for time,6 rounds; for time,15min AMRAP,Litmus- Squat Sit (butt!),6rds; for time,for time ,15min AMRAP,9min AMRAP,for time,Anterior Reset,EMOM for 12min,Teams (2-4ppl) | for time,7 rds; for time ,15min AMRAP,5 rounds; for max weight,Litmus- Shoulder Screen (FMS),9rds; for time ,Love Day!,Each dist for time,Bench Max,15min AMRAP,Litmus- OHS Sit,For max reps,for time
,10 1-Arm RDL (35/25),10 Ring Commando Pull Ups,10ea Banded Knee Raises,St- Foot Sm | Ant Tib Sm | Calf St | Knee Gap | IT Band | Quad | Hip Flexor,30 Db Flys (Fr | Lat | Rev)(5's/2.5's),3rds ,15 HKR,8 Front Squats (95/65),100cal Row (10 Pulls at a time),Litmus- Squat Sit/Supine OH,5 Burpees (no push up) at the top of every min | then...,50 Box Pull Ups,4 Box Chin Ups,10 Thrusters (25's/15's),2 Bench (145/85),St- Scorpion St | Rear Delt Sm. | Trap Sm. | Scap Sm. | Karate Chop,1 Down Dog HSPU ,Spending our fitness credits helping out other people.,800m Row,,60 Singles,St- Calf St. | Quad St. | Superhero St. | Pigeon St. | Prone Cobra | Karate Chop | Pec St. | Handcuff St. | Neck Rolls,,5rds of:
,10 1-Arm Db Sh Press (25/15),12 Incline Wide Push Ups,10yd Banded Side Steps,Act- Quad Kickbacks | Tree Pose,15 Straight Leg Raises,20 Split Squats | 15 Squat Hops | 10 Burpees (no push up),100yd Farmers Carry (40's/25's),5 Box Pull Ups,15 Hamstring Curls,St- Kneeling St. | Samson St. | Kneeling Couch | Prone Cobra | Scorpion St,,300 RDL (55/35),34 Singles,15 Db RDL (25's/15's),15 BPA,Act- Bent Over Sh Press,3 Front Squats (105/90),,Rest,,200m Row,Act- Prone Hip Ext | Side Planks,Rev Tabata Sh Pr (75/45),12 Jump Half Squats
,10 Step Ups (AHiAP),:30 Recliners,1min Banded Wall Sits,Int- Single Leg RDL's,5 Inch Worms, _300 Singles_ ,5 Push Press (95/65),3 Muscle Clean (95/65),60 Singles,Act- Marching Glute Bridge | Prone IYT's,Max Front Rack Lunges (95/65),4000m Row,7 Box Jumps (AHiAP) ,20yd Suitcase Carry (25/15),:30 Planks,Int- Pike,7ea Db BOR (40/25),,500m Row,,10 Burpees (no push up),Int- Squat Sit (intentional squeezes),Rev Tabata Fr Sq (135/85),1min Glute Bridge
,60 Singles,,10ea Quad Kickbacks,Litmus Suqat Sit,,2rds ,,,,Int- Rev Planks,,(200 Plank Walkouts),6 Candlesticks,,,Litmus- Shoulder Screen,,,Rest,,,Litmus- OHS Sit,Rev Tabata DL (225/135),--50 Dubs--
,,,,,,20 Split Squats | 15 Squat Hops | 10 Burpees (no push up),,,,Litmus- Squat sit/supine OH,,Partners rotate stations every 2min,,,,,,,250m Row,,,,,5rds of: 
,,,,,*On the flys: 10 frontal | 10 lateral | 10 reverse, _300 Singles_ ,,,,,,,,,,,,,,,,,*Rev Tabata= 10sec on/20sec off. 8 Intervals each station. 2min rest between exercises.,15 Burpees (no push up)
,,,,,,1rd ,,,,,,,,,,,,,,,,,,1min Deadhang (toe support)
,,,,,,20 Split Squats | 15 Squat Hops | 10 Burpees (no push up),,,,,,,,,,,,,,,,,,--50 Dubs--
,,,,,,,,,,,,,,,,,,,,,,,,
