WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
,8 Box Chin Ups,12 Db Ground to Overhead (25/15),7 Squat Sit Db Sh Pr (15's/10's),Act- Superman's ,12ea Banded Row (light),100 Incline Push Ups,10 Incline Push Ups,Min 2: Ring Rows (> 45),8 Db Floor Press (40's/25's),"Act- 1- Leg Leaning RDL, Marching Glute Bridges",8 OHS (pvc),60 RDL (40/25),15 Face Pulls ,10 Front Rack Lunges,5 Candlesticks,100 Burpees (no push up),"Act- Neck drills, Prone IYT's","20 Step Ups (20"")",Min 2: Db Pullovers (25/15),:20ea Quadruped Iso T's (bw),50 Incline Push Ups,"Act- Glute Bridge, Tree Pose",20 Banded Rows,15 HKR
,"6ea Heel Touches (3"")",20yd Serratus Ant Carry (15/10),:30 Banded Hollow Hold (light),Int- Split Squats,40yd Farmers Carry (25's/15's-Db's),100 Crunches,,Min 3: Bent Leg Raises,,Int- Pulsing Squats,60 Singles,180 Singles,,8 Bent Over Row,,400 Singles,Int- Sh Press,30 Squats to Box,,,50 Crunches,Int- RDL,,
,,,,Litmus- OH Squat Sit ,,100 Squats to Box,,,,Litmus- SL Good Morning,*18min time cap*,50 Box Pull Ups,,6 Push Press,,100 Lunges (bw),Litmus- Neck Rolls,40 Incline Push ups,,,50 Squats to Box,Litmus- Narrow Sq/Single Leg Sq,,
,,,,,,,,,,,,160 Singles,,4 Single Leg Squat to Box,,400 Singles,,50 Alt Tuck Ups,,,,,,
,,,,,,,,,,,,40 Incline Push Ups,,,,100 Ring Rows,,3min Dip Support,,,,,,
,,,,,,,,,,,,140 Singles,,,,400 Singles,,,,,,,,
,,,,,,,,,,,,30 Db Thrusters (25's/15's),,,,100 Goblet Squats (35/25),,,,,,,,
,,,,,,,,,,,,120 Singles,,,,400 Singles,,,,,,,,
,,,,,,,,,,,,200m Row,,,,100 Floor Press (95/65),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Out,40yd Side Step,30 Tricep Push Ups,60 IYT's,,3min Arm Circles,2min Scorpion St,50 Banded RDL's,20 Ring Rev Flys,30 Push Ups,,40 St Arm Lat Pulldowns,30 Bi's and Tri's,30 GHD's,3min Arm Circles,2min Prone Cobra,3min Stretch,,30 Rev Flys,20ea Split squats,2min Overhead Stretch,2min Samson St (ea),,2min Scorpion St (ea),2min Forearm St (ea)
