WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Foundation,EMOM for 12min, for time ,Best out of 3,5rds; for time ,12min AMRAP,,12min AMRAP,6rds; 1min/station ,5rds; for time,15min AMRAP,6rds; for time,,EMOM for 16min,3 rounds; for max reps; 1min ea,3 rounds; for fastest time,EMOM for 12min:,15min AMRAP,,6rds; for time,5rds; for time,10min AMRAP,12min AMRAP,15 |000lbs | for time,,For max weight; ,4 rounds; for time
,8 Kneading Planks,3rds ,500m Row,30 Dubs ,3 Banded Pull Ups,,8 Thrusters (40's/25's),Row (cals) ,"10 Step Ups (20"")(bw)",15 Db RDL (40's/25's),12 Sumo Squats (25/15),,Min 1: Floor Press (115/75),(25/15),,for max reps,40yd Banded Side Steps,,5 Box Jumps (AHighAP),20 Lunges (75/45),10 Squat Hops,5 Db Power Clean (25's/15's),10 Front Squats ,,Bench,21 Wall Balls Thrusters (20/14)
,5 Ham Walkouts,20 Lunges | 15 Squat Jumps | 10 Burpees ,40 Squats (to box),15 Lunges (95/65),6 Floor Press (95/65),,15 Seated Ham Curls,Burpees no push up,10 Incline Push Ups,8 Ring Rows,10 Sh Press (25's/15's),,Min 2: Rev Push Ups w/ bent knees,Single Db Thruster,250m Row,Min 1: Ring rows,90 Singles,,10 Ring Pull Ups,15 Floor Press (75/45),6 Step Ups (AHiAP)(BW),7 Knee Push Ups,5 Shoulder Press <= 75/45,,3-3-3-2-2-2-1-1-1 ,18 Ring Rows
,6ea Side Plank Raise (on knees),_150 Singles_,30 Crunches,,,,,Singles,,,,,Min 3 and 4: Rest,Single Db Hang Snatch,,Min 2: Push Press (75/45),15 HKR,,,10 Shoulder Press (75/45),:20 Bent Knee Rev Planks,10 HKR,,,,15 Kb RDL (55/35)
,,2rds ,20 Incline Push Ups,,,,,Rest,,,,,,Jumping Lunges,,Min 3: Incline Push Ups,,,,,,,*CYOW; 15min cap,,,12 Shoulder Press
,,20 Lunges | 15 Squat Jumps | 10 Burpees,10 Ring Rows,,,,,,,,,,,Single Db Hang C&J,,,,,,,,,,,,
,, _150 Singles_ ,,,,,,,,,,,,Lateral Db Hops,,,,,,,,,,,,
,,1rd ,,,,,,,,,,,,1min Rest B/W Rounds,,,,,,,,,,,,
,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,2min Samson St (ea),3min Glute Bridge,3min Arm Circles,,30 Bi's and Tri's,2min Battle Rope,2min Couch Mob,2min Handstand Hold,2min Pigeon St,,2x Max bi's and tri's (25's/15's),2min OH Stretch,2min Superhero (ea),3min Arm Circles,3min Plank,,2min Samson St (ea),3x Max Bi's and Tri's (25's/15's),2min Couch,2min Handstand Hold,2min Samson St,,3x Max Bi's and Tri's (25's/15's),50 Dubs
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2rds; for best time,1min ea ex | 1min b/n ea rd,,,Min 1: 15 Bent Over Row (backpack),#VALUE!,20 Squats,30-20-10,15min AMRAP,5rds; for time,21-15-9-6-3,#VALUE!,4rds; for max reps,#REF!,15min AMRAP,5rds; for max reps,10min AMRAP,#VALUE!,8rds; for time,#REF!,9rds; for time,20min AMRAP; for max distance,15min AMRAP,#VALUE!,EMOM for 12min; max ab reps,for time
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
