,50 Dubs,1 Eccentric Muscle Up,8 Wall Balls (30/20),Act.: Recliners | Lat Pulldowns | Iso Kickbacks | Glute Bridges,3 Push Jerk,Row (cals),8 Thrusters (135/85),20yd Bear Crawls (pvc),10yd Broad Jumps,Act.: Prone IYT's | Prone BNP | Serratus Ant. Act. (both) | Iso Lat Pulldown,20 Dubs,5 Deadlifts (275/185),2-3 attempts,for max reps,"3 Box Jump (30""/24"")",Act: Prone Iso Kickbacks | Recliners | Clams | Hip Raises,Wall Balls (30/20),10yd Handstand Walk,8 Goblet Squats (70/55),50 Ring Dips,10 Front Squats ,,3-3-3-2-2-2-1-1-1,21 Wall Balls (20/14)
,15 Lunges (135/85),6 Floor Press (95/65),5 Burpees,Fxnl: Goblet Squats (eccentric/pulse/pause),8 Bench Press,Burpees,15 Seated Ham Curls,15 Banded Rows,10 Single Leg Squats (on top of box),Fxnl: Overhead Plate Hold | TRS Teapot to Plank (or plank) | Shoulder Press,15 Ring Dips,10 Burpees,,Min 1: Ring rows (ft on box),15 Lunges (155/95),Fxnl: Glute walking | Pulse Squats (.25/.5./full),20yd Sled Drags (big sled; 135)*,15 DB Power Clean (50's/35's),"14 Step Ups (24"")",30 Muscle Ups,5 Push Press,,Bench,18 Pull Ups
,,,,,,Dubs,,8 Floor Press (185/105),10 Shoulder Press (115/75),,20yd Seal Drags,,Row 250m,Min 2: Push Jerk (155/95),,,Bench Press (185/125),30 Dubs,30 Lateral Hops,5min Plank,,,,15 Kb Swings (55/35)
,,,,,,Rest,,,,,5 Muscle Ups,,,Min 3: Push Ups,,,Kneading Planks (pvc),,,,*CYOW,,,12 HSPU
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,>= 135/85,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,3min Glute Bridge,2min Arm Circles (ea direction),2min Samson St (ea side),,40 Bi's and Tri's,2min Battle Rope (1min intervals),40yd Side Steps,3min Plank,2min Pigeon Stretch (ea side),,30 Bi's and Tri's,1min Striking Drills,2min Samson Stretch (ea side),2min Side Plank (ea side),Knee Walk Gauntlet,,20 Bi's and Tri's,20 Pull Ups (AHAP),4min Glute Bridge,1min Dip Support,2min Couch (ea side),,20 Bi's and Tri's,5min Max Dubs
,,,,,,,,,,,,,,,,,,,,,,,,
,12min AMRAP,EMOM for 6min (each section),4rds; for time,#VALUE!,12min AMRAP,for time,6rds; for time,5rds; max knee highs,EMOM for 12min,#VALUE!,15min AMRAP,5rds; for max reps,4rds; for time,The Lonely Hearts Club,4rds; for time,#VALUE!,#VALUE!,EoMOM for 8min,12min AMRAP,6rds; for time,EMOM for 10min,#VALUE!,#VALUE!,10min AMRAP
