WoD,,,,How to Rehab Yourself,,,Murph ,,Chun Li,How to Fix Hip/Back/Shoulders,,Anzac Day Tribute,,,FGB Style,How to Move Sans Advil,,,,,Tabata Everything,,,
,20 Ham Curls (thin),10 Incline Push Ups,:20 Hollow Hold,,15 Straight Arm Lat Pulldowns,Min 1-4: 20-22 spm,50 Pull Ups,15 Crunches,40 Crunches,,:20 Elevated Plank,25m Lunges,15 Bent Over Row (45/35),10 Down dog to Prone Cobra,Rev Fly (bw),,15 Squats to Box,50 Ring Rows,20 Squats to Box,10 Upside Down Kb Press (10/5,A-Skips,,3 Walking Pike Up,
,10 Narrow Squats,5 Ring Rows,15 Calf Raises,,60 Singles,Min 5-8: 24-26 spm,100 Push Ups,:20 Iso Y,,,10 Burpee (no pus up),25 Squats,:30 Overhead Hold (10 to 25lbs),,OH Tricep Ext (10's/5's),,:30 Planks,30 Hanging Knee Raises,,:30 Hollow Hold,Planks (on knees),,5 Incline Push Ups,
,,,,,,Min 9-12: 28-30 spm,150 Squats,15 Sit Ups,,,,25m Bear Crawl,,,Bi Curl (10's/5's),,,20 V-Ups,,,(alt exercises),,20 Singles,
,,,,,,,1/2 mile Run,:20 Iso T,,,,,,,1min Rest,,,,,,,,,
,,,,,,,,15 Hip Hikes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,20ea Split Squats,2min Arm Circles (ea side),2min Squat Sit,,30 Crunches (w/ march),,Stretch,30 Pull Up Shrugs,3min Plank,,50 Bi's and Tri's,5min Stretch,2min Karate Chop (ea side),2min Samson St (ea side),2min ea Scorpion St,,1min Pseudo Planche Hold,50 Wrist Curls/Ext,2min Couch Mob (ea side),2min OH Stretch,2min Pigeon St (ea side),,50 Bi's and Tri's,10min Stretch
