WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
,:15 L-Hangs,3 Front Levers,10 Box Squats (70/55),,(45/35),"5 Box Jumps (24""/20"")",1mile run,3 Shoulder Press (135/85),5 Front Squats (50% B.Sq.),,5 Strict Chest to Bar Pull Ups,,5 Push Press (155/105),200m Row,20 Lunges (40/25),,5 OHS (115/75),5 HSPU (Freestanding),10 Lunges (135/85) ,5 Floor Press (185/125) ,10 Db Sh Pr (50's/35's) ,,3 Thrusters (135/95) ,5 Muscle Ups 
,16 Star Touches,10 Sh Press (115/75),:30 Ring Dip Support,,Rev Curl,10 Med Ball Floor Pass (30/20),100 Pull Ups,5 Dragon Flags,12 Side Jumps (Apollo Ohno's),,10 Hand Release Push Ups,,10 Pull Ups (25/15),15 Kb Swings,10 Wall Balls (30/20),,"10 Step Ups (24"")(40/25)",10 Archer Push Ups,15 Ham Curls,11 Dragon Flags,30 Band Side Steps ,,4 Evil Wheels ,5 Russian Push Ups 
,30 Dubs,80yd Suitcase Carry (55/35),,,Shoulder Press,20yd Lateral Quick Steps,200 Push Ups,,20 Hollow Rocks,,15 Kb Swings (70/55),,10 1-Leg RDL (70/55),10 TTB,30 Dubs,,10ea 1-Arm BOR (70/55),15 Ring Rows (flat),20 Dubs,,10 Ring Rows (flat),,"5 Step Ups (24"")",5 Chin Ups 
,,,,,Tricep Extension,,300 Squats,,,,,,,,,,,,,,20 Seated Pike Ups,,,40yd Farmers Carry (over top)(25's/15's)
,,,,,Squat,,1mile run,,,,,,,,,,,,,,,,,
,,,,,1-Arm Lunge (ea side),,,,,,,,,,,,,,,,,,,
,,,,,Bent Over Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,15min AMRAP,4rds; for time,15min AMRAP,,10 reps ea | 2rds,15min AMRAP,for time,EMOM for 10min,12min AMRAP,,10min AMRAP,Bench 5x3@ 70 | 75 | 80 | 85 | 85,6rds; for time,15min AMRAP,4rds; for time,,5rds; for time,5rds; for time,12min AMRAP,5 rounds; for time,15min AMRAP,,EMOM for 10min,12min AMRAP
,:15 Bent Leg Hang,10 Pull Up Shrugs,10 Box Squats (55/35),,(45/35),"5 Box Jumps (24""/20"")",1mile run,3 Shoulder Press (115/75),5 Front Squats (135/85),,5 Pull Ups,,5 Push Press (135/95),200m Row,20 Lunges (40/25),,5 OHS (95/65),5 HSPU,10 Lunges (95/65),5 Floor Press (155/95),10 Db Shoulder Press (25's/15's),,3 Thrusters (115/75),5 Chest to Bar Pull Ups
,16 Star Touches,10 Sh Press (95/65),:30 Dip Support,,Rev Curl,10 Med Ball Floor Pass (20/14),100 Box Pull Ups,5 Ecc Dragon Flags,12 Side Jumps (Apollo Ohno's),,10 Hand Release Push Ups,,10 Pull Ups,15 Kb Swings (55/35),10 Wall Balls (20/14),,"10 Step Ups (20"")(40/25)",10 Hand Release Push Ups,15 Ham Curls,8 Ecc Dragon Flags,30 Banded Side Steps (Md-Hvy),,4 Evil Wheels,5 Hand Release Push Ups
,15 Dubs,80yd Suitcase Carry (40/25),,,Shoulder Press,20yd Lateral Quick Steps,200 Knee Push Ups,,20 Hollow Rocks,,15 Kb Swings (55/35),,10 1-Leg RDL (55/35),10 KTE,15/30 Dubs/Singles,,10ea 1-Arm BOR (55/35),15 Ring Rows (<45 angle),10/20 Dubs/Singles,,10 Ring Rows (<45),,"5 Step Ups (20"")",5 Chin Ups
,,,,,Tricep Extension,,300 Squats,,,,,,,,,,,,,,20 Seated Pike Ups,,,40yds Farmers Carry (40's/25's)
,,,,,Squat,,1mile run,,,,,,,,,,,,,,,,,
,,,,,1-Arm Lunge (ea side),,,,,,,,,,,,,,,,,,,
,,,,,Bent Over Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,15min AMRAP,4rds; for time,15min AMRAP,,10 reps ea | 2rds (25/15),15min AMRAP,SMurph; for time,EMOM for 10min,12min AMRAP,,10min AMRAP,Bench 5x3@ 75 | 95 | 115 | 135 | 135,6rds; for time,15min AMRAP,4rds; for time,,5rds; for time,5rds; for time,12min AMRAP,5 rounds; for time,15min AMRAP,,EMOM for 10min,12min AMRAP
,:15 Hollow Hold,10 St Arm Lat Pulldowns,10 Box Squats (bw),,Rev Curl,"5 Box Jumps (20"")",.5 mile run,3 Shoulder Press (40's/25's),5 Arnold Squats (95/65),,5 Box Pull Ups,,5 Db Push Press (40's/25's),200m Row,20 Split Squats,,5 OHS (25/15),5 Down Dog HSPU,10 Lunges (40/25),5 Floor Press 115/75),10 Db Shoulder Press (15's/10's),,3 Db Thrusters (40's/25's),5 Ecc Pull Ups
,8 Star Touches,10 Sh Press (75/45),:30 Dip Support (toe assist),,Shoulder Press,10 Med Ball Floor Pass (20/14),100 Pull Ups,5 Candlesticks,12 Side Jumps (Apollo Ohno's),,10 Incline Push Ups,,10 Box Pull Ups,15 Explosive RDL (40/25),10 Wall Ball Thruster (20/14),,"10 Step Ups (20"")(bw)",10 Incline Push Ups,15 Ham Curls,8 Candlesticks,30 Banded Side Steps (Xlt-lt),,4 Plank Walkouts,5 Incline Push Ups
,30 Singles,80yd Suitcase Carry (40/25),,,Tricep Extension,20yd Lateral Quick Steps,200 Push Ups,,30sec Hollow Hold,,15 DB RDL (40/25),,10 1-Leg RDL (25/15),10 HKR,60 Singles,,10ea 1-Arm BOR (40/25),15 Ring Rows (>45 angle),40 Singles,,10 Ring Rows (>45),,5 Step Ups (AHighAP),5 Ring Bicep Curls
,,,,,Squat,,300 Squats,,,,,,,,,,,,,,20 Seated 1-leg Pike Ups,,,40yds Farmers Carry (40's/25's)
,,,,,1-Arm Lunge (ea side),,.5 mile run,,,,,,,,,,,,,,,,,
,,,,,Bent Over Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,15min AMRAP,4rds; for time,15min AMRAP,,Backpack Complex | 10reps ea | 2rds,15min AMRAP,for time,EMOM for 10min,12min AMRAP,,10min AMRAP,"Eccentric Push Ups 5x5@ 5"" descent",6rds; for time,15min AMRAP,4rds; for time,,5rds; for time,5rds; for time,12min AMRAP,5 rounds; for time,15min AMRAP,,EMOM for 10min,12min AMRAP
,:15 Hollow Hold,10 Pull Up Shrugs,10 Box Squats (70/55),,(backpack),5 Tuck Jumps,1mile run,3 Down Dog HSPU,Squats (bw),,5 Wall Shoulder Press,,5 Down Dog HSPU,10 Burpee (no push up),30 Lunges (bw),,10 OHS (pvc),5 Divebombers,10 Lunges (holding kid or backpack),5 Plyo Push Ups,10 Bent Over Shoulder Press,,3 Burpees,:20 Batwing
,8 Star Touches,10 Down Dog HSPU,:30 Ring Dip Support,,Rev Curl,10 Plyo Push Ups,100 Box Pull Ups,10 V-Ups,Side Jumps (Apollo Ohno's),,10 Push Ups,,10 Pull Ups,15 Broad Jumps,12 Squat Hops,,10 Step Ups (AHiAP),10 Hand Release Push Ups,8 Glute Bridge Walkouts,8 Ecc Dragon Flags,30 Banded Side Steps,,4 Plank Walkouts,5 Hand Release Push Ups
,30 Jumping Jacks,80yd Suitcase Carry (backpack),,,Shoulder Press,20yd Lateral Quick Steps,200 Knee Push Ups,,Hollow Rocks,,15 Good Morning (pvc),,16 1-Leg RDL (bw),10 V-Ups,30 Dubs,,20 Revy Flys,21 IYT's,20 Dubs,,20 Rev Flys,,5 Step Ups (AHiAP),5ea Bi Curls (backpack)
,,,,,Tricep Extension,,300 Squats,,,,,,,,,,,,,,20 Seated Pike Ups,,,:40 Farmers Hold (backpack)
,,,,,Squat,,1mile run,,,,,,,,,,,,,,,,,
,,,,,1-Arm Lunge (ea side),,,,,,,,,,,,,,,,,,,
,,,,,Bent Over Row,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,50 Banded Side Steps,2min Rev Plank,2min Samson,,2min Pigeon,2min Across the Body Stretch,2min Stretching,2min Samson,20 Split Squats,,2min Scorpion St,,3min Planks,20 Jumping Split Squats,2min Pigeon,,20 Pull Up Shrugs,30 Bi's and Tri's,30 GHD's,2min Scorpion,30 Rev Flys,,2min Samson,20 Bi's and Tri's
,,,,,,,,,,,,,,,,,,,,,,,,
,3rds; for time,for time,5rds; for time,#VALUE!,for time,EMOM for 12min,for time | w/o vest,5rds; (15min cap),15min AMRAP,#VALUE!,For time,EMOM for 12min,5rds; for time,15min AMRAP,21-15-9-6-3,#VALUE!,5rds; for time,6rds | for time ,15min AHvyAP,20min; pass/fail,1600m Walk/Jog/run*,#VALUE!,20min AMRAP,15min AMRAP
